% time	cellId	IMSI	RNTI	rsrp	sinr
0.310214	1	1	1	2.39525e-08	5.04963e+07
0.311214	1	1	1	2.39819e-08	5.05583e+07
0.312214	1	1	1	2.40114e-08	5.06204e+07
0.313214	1	1	1	2.40409e-08	5.06827e+07
0.314214	1	1	1	2.40705e-08	5.0745e+07
0.315214	1	1	1	2.41001e-08	5.08075e+07
0.316214	1	1	1	2.41298e-08	5.08701e+07
0.317214	1	1	1	2.41595e-08	5.09328e+07
0.318214	1	1	1	2.41893e-08	5.09956e+07
0.319214	1	1	1	2.42192e-08	5.10585e+07
0.320214	1	1	1	2.42491e-08	5.11216e+07
0.321214	1	1	1	2.4279e-08	5.11847e+07
0.322214	1	1	1	2.43091e-08	5.1248e+07
0.323214	1	1	1	2.43391e-08	5.13114e+07
0.324214	1	1	1	2.43692e-08	5.13749e+07
0.325214	1	1	1	2.43994e-08	5.14385e+07
0.326214	1	1	1	2.44297e-08	5.15022e+07
0.327214	1	1	1	2.44599e-08	5.15661e+07
0.328214	1	1	1	2.44903e-08	5.163e+07
0.329214	1	1	1	2.45207e-08	5.16941e+07
0.330214	1	1	1	2.45511e-08	5.17583e+07
0.331214	1	1	1	2.45816e-08	5.18226e+07
0.332214	1	1	1	2.46122e-08	5.18871e+07
0.333214	1	1	1	2.46428e-08	5.19516e+07
0.334214	1	1	1	2.46735e-08	5.20163e+07
0.335214	1	1	1	2.47042e-08	5.20811e+07
0.336214	1	1	1	2.4735e-08	5.2146e+07
0.337214	1	1	1	2.47659e-08	5.2211e+07
0.338214	1	1	1	2.47968e-08	5.22762e+07
0.339214	1	1	1	2.48277e-08	5.23414e+07
0.340214	1	1	1	2.48587e-08	5.24068e+07
0.341214	1	1	1	2.48898e-08	5.24723e+07
0.342214	1	1	1	2.49209e-08	5.2538e+07
0.343214	1	1	1	2.49521e-08	5.26037e+07
0.344214	1	1	1	2.49834e-08	5.26696e+07
0.345214	1	1	1	2.50147e-08	5.27356e+07
0.346214	1	1	1	2.5046e-08	5.28017e+07
0.347214	1	1	1	2.50775e-08	5.28679e+07
0.348214	1	1	1	2.51089e-08	5.29343e+07
0.349214	1	1	1	2.51405e-08	5.30008e+07
0.350214	1	1	1	2.51721e-08	5.30674e+07
0.351214	1	1	1	2.52037e-08	5.31341e+07
0.352214	1	1	1	2.52354e-08	5.32009e+07
0.353214	1	1	1	2.52672e-08	5.32679e+07
0.354214	1	1	1	2.5299e-08	5.3335e+07
0.355214	1	1	1	2.53309e-08	5.34022e+07
0.356214	1	1	1	2.53629e-08	5.34696e+07
0.357214	1	1	1	2.53949e-08	5.35371e+07
0.358214	1	1	1	2.54269e-08	5.36047e+07
0.359214	1	1	1	2.5459e-08	5.36724e+07
0.360214	1	1	1	2.54912e-08	5.37402e+07
0.361214	1	1	1	2.55235e-08	5.38082e+07
0.362214	1	1	1	2.55558e-08	5.38763e+07
0.363214	1	1	1	2.55881e-08	5.39445e+07
0.364214	1	1	1	2.56206e-08	5.40129e+07
0.365214	1	1	1	2.5653e-08	5.40814e+07
0.366214	1	1	1	2.56856e-08	5.415e+07
0.367214	1	1	1	2.57182e-08	5.42187e+07
0.368214	1	1	1	2.57509e-08	5.42876e+07
0.369214	1	1	1	2.57836e-08	5.43566e+07
0.370214	1	1	1	2.58164e-08	5.44257e+07
0.371214	1	1	1	2.58492e-08	5.44949e+07
0.372214	1	1	1	2.58821e-08	5.45643e+07
0.373214	1	1	1	2.59151e-08	5.46338e+07
0.374214	1	1	1	2.59481e-08	5.47035e+07
0.375214	1	1	1	2.59812e-08	5.47733e+07
0.376214	1	1	1	2.60144e-08	5.48432e+07
0.377214	1	1	1	2.60476e-08	5.49132e+07
0.378214	1	1	1	2.60819e-08	5.49854e+07
0.379214	1	1	1	2.61229e-08	5.5072e+07
0.380214	1	1	1	2.61641e-08	5.51587e+07
0.381214	1	1	1	2.62053e-08	5.52457e+07
0.382214	1	1	1	2.62466e-08	5.53328e+07
0.383214	1	1	1	2.6288e-08	5.54201e+07
0.384214	1	1	1	2.63295e-08	5.55075e+07
0.385214	1	1	1	2.63711e-08	5.55952e+07
0.386214	1	1	1	2.64128e-08	5.5683e+07
0.387214	1	1	1	2.64545e-08	5.5771e+07
0.388214	1	1	1	2.64963e-08	5.58592e+07
0.389214	1	1	1	2.65382e-08	5.59475e+07
0.390214	1	1	1	2.65802e-08	5.60361e+07
0.391214	1	1	1	2.66223e-08	5.61248e+07
0.392214	1	1	1	2.66645e-08	5.62137e+07
0.393214	1	1	1	2.67067e-08	5.63027e+07
0.394214	1	1	1	2.67491e-08	5.6392e+07
0.395214	1	1	1	2.67915e-08	5.64814e+07
0.396214	1	1	1	2.6834e-08	5.6571e+07
0.397214	1	1	1	2.68766e-08	5.66608e+07
0.398214	1	1	1	2.69193e-08	5.67508e+07
0.399214	1	1	1	2.6962e-08	5.6841e+07
0.400214	1	1	1	2.70049e-08	5.69313e+07
0.401214	1	1	1	2.70478e-08	5.70218e+07
0.402214	1	1	1	2.70908e-08	5.71125e+07
0.403214	1	1	1	2.7134e-08	5.72034e+07
0.404214	1	1	1	2.71772e-08	5.72945e+07
0.405214	1	1	1	2.72204e-08	5.73857e+07
0.406214	1	1	1	2.72638e-08	5.74772e+07
0.407214	1	1	1	2.73073e-08	5.75688e+07
0.408214	1	1	1	2.73508e-08	5.76606e+07
0.409214	1	1	1	2.73945e-08	5.77526e+07
0.410214	1	1	1	2.74382e-08	5.78448e+07
0.411214	1	1	1	2.7482e-08	5.79372e+07
0.412214	1	1	1	2.75259e-08	5.80297e+07
0.413214	1	1	1	2.75699e-08	5.81225e+07
0.414214	1	1	1	2.7614e-08	5.82154e+07
0.415214	1	1	1	2.76582e-08	5.83085e+07
0.416214	1	1	1	2.77024e-08	5.84018e+07
0.417214	1	1	1	2.77468e-08	5.84953e+07
0.418214	1	1	1	2.77912e-08	5.8589e+07
0.419214	1	1	1	2.78358e-08	5.86829e+07
0.420214	1	1	1	2.78804e-08	5.8777e+07
0.421214	1	1	1	2.79251e-08	5.88712e+07
0.422214	1	1	1	2.79699e-08	5.89657e+07
0.423214	1	1	1	2.80148e-08	5.90603e+07
0.424214	1	1	1	2.80598e-08	5.91552e+07
0.425214	1	1	1	2.81048e-08	5.92502e+07
0.426214	1	1	1	2.815e-08	5.93454e+07
0.427214	1	1	1	2.81953e-08	5.94408e+07
0.428214	1	1	1	2.82406e-08	5.95364e+07
0.429214	1	1	1	2.8286e-08	5.96322e+07
0.430214	1	1	1	2.83316e-08	5.97282e+07
0.431214	1	1	1	2.83772e-08	5.98244e+07
0.432214	1	1	1	2.84229e-08	5.99208e+07
0.433214	1	1	1	2.84687e-08	6.00173e+07
0.434214	1	1	1	2.85146e-08	6.01141e+07
0.435214	1	1	1	2.85606e-08	6.02111e+07
