% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
130	1	2	14	0	28	277	0	1
130	1	3	29	0	28	277	0	1
130	1	11	16	0	28	277	0	1
130	1	14	15	0	28	277	0	1
130	1	17	27	0	28	277	0	1
130	1	18	30	0	28	277	0	1
130	1	19	28	0	28	277	0	1
130	1	20	13	0	28	277	0	1
131	1	4	42	0	28	277	0	1
131	1	6	39	0	28	277	0	1
131	1	7	38	0	28	277	0	1
131	1	8	43	0	28	277	0	1
131	1	9	36	0	28	277	0	1
131	1	10	37	0	28	277	0	1
131	1	15	45	0	28	277	0	1
131	1	16	44	0	28	277	0	1
132	1	1	3	0	28	277	0	1
132	1	2	14	0	28	277	0	1
132	1	5	1	0	28	277	0	1
132	1	11	16	0	28	277	0	1
132	1	12	2	0	28	277	0	1
132	1	13	4	0	28	277	0	1
132	1	14	15	0	28	277	0	1
132	1	20	13	0	28	277	0	1
133	1	3	29	0	28	277	0	1
133	1	6	39	0	28	277	0	1
133	1	7	38	0	28	277	0	1
133	1	9	36	0	28	277	0	1
133	1	10	37	0	28	277	0	1
133	1	17	27	0	28	277	0	1
133	1	18	30	0	28	277	0	1
133	1	19	28	0	28	277	0	1
134	1	1	3	0	28	277	0	1
134	1	4	42	0	28	277	0	1
134	1	5	1	0	28	277	0	1
134	1	8	43	0	28	277	0	1
134	1	12	2	0	28	277	0	1
134	1	13	4	0	28	277	0	1
134	1	15	45	0	28	277	0	1
134	1	16	44	0	28	277	0	1
135	1	2	14	0	28	277	0	1
135	1	3	29	0	28	277	0	1
135	1	11	16	0	28	277	0	1
135	1	14	15	0	28	277	0	1
135	1	17	27	0	28	277	0	1
135	1	18	30	0	28	277	0	1
135	1	19	28	0	28	277	0	1
135	1	20	13	0	28	277	0	1
136	1	4	42	0	28	277	0	1
136	1	6	39	0	28	277	0	1
136	1	7	38	0	28	277	0	1
136	1	8	43	0	28	277	0	1
136	1	9	36	0	28	277	0	1
136	1	10	37	0	28	277	0	1
136	1	15	45	0	28	277	0	1
136	1	16	44	0	28	277	0	1
137	1	1	3	0	28	277	0	1
137	1	2	14	0	28	277	0	1
137	1	5	1	0	28	277	0	1
137	1	11	16	0	28	277	0	1
137	1	12	2	0	28	277	0	1
137	1	13	4	0	28	277	0	1
137	1	14	15	0	28	277	0	1
137	1	20	13	0	28	277	0	1
138	1	3	29	0	28	277	0	1
138	1	6	39	0	28	277	0	1
138	1	7	38	0	28	277	0	1
138	1	9	36	0	28	277	0	1
138	1	10	37	0	28	277	0	1
138	1	17	27	0	28	277	0	1
138	1	18	30	0	28	277	0	1
138	1	19	28	0	28	277	0	1
139	1	1	3	0	28	277	0	1
139	1	4	42	0	28	277	0	1
139	1	5	1	0	28	277	0	1
139	1	8	43	0	28	277	0	1
139	1	12	2	0	28	277	0	1
139	1	13	4	0	28	277	0	1
139	1	15	45	0	28	277	0	1
139	1	16	44	0	28	277	0	1
140	1	2	14	0	28	277	0	1
140	1	3	29	0	28	277	0	1
140	1	11	16	0	28	277	0	1
140	1	14	15	0	28	277	0	1
140	1	17	27	0	28	277	0	1
140	1	18	30	0	28	277	0	1
140	1	19	28	0	28	277	0	1
140	1	20	13	0	28	277	0	1
141	1	4	42	0	28	277	0	1
141	1	6	39	0	28	277	0	1
141	1	7	38	0	28	277	0	1
141	1	8	43	0	28	277	0	1
141	1	9	36	0	28	277	0	1
141	1	10	37	0	28	277	0	1
141	1	15	45	0	28	277	0	1
141	1	16	44	0	28	277	0	1
142	1	1	3	0	28	277	0	1
142	1	2	14	0	28	277	0	1
142	1	5	1	0	28	277	0	1
142	1	11	16	0	28	277	0	1
142	1	12	2	0	28	277	0	1
142	1	13	4	0	28	277	0	1
142	1	14	15	0	28	277	0	1
142	1	20	13	0	28	277	0	1
143	1	3	29	0	28	277	0	1
143	1	6	39	0	28	277	0	1
143	1	7	38	0	28	277	0	1
143	1	9	36	0	28	277	0	1
143	1	10	37	0	28	277	0	1
143	1	17	27	0	28	277	0	1
143	1	18	30	0	28	277	0	1
143	1	19	28	0	28	277	0	1
144	1	1	3	0	28	277	0	1
144	1	4	42	0	28	277	0	1
144	1	5	1	0	28	277	0	1
144	1	8	43	0	28	277	0	1
144	1	12	2	0	28	277	0	1
144	1	13	4	0	28	277	0	1
144	1	15	45	0	28	277	0	1
144	1	16	44	0	28	277	0	1
145	1	2	14	0	28	277	0	1
145	1	3	29	0	28	277	0	1
145	1	11	16	0	28	277	0	1
